wine,price,country,rating,wine count
Siepi,168.75,Italie,4.4,274658
Tignanello,750.0,Italie,4.5,274658
Tenuta Nuova Brunello di Montalcino,420.0,Italie,4.5,274658
Altero Brunello di Montalcino,121.25,Italie,4.4,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),726.25,France,4.6,422503
Hermitage La Chapelle Rouge,310.0,France,4.3,422503
Barolo Rocche,202.5,Italie,4.4,274658
Montepulciano d'Abruzzo,248.25,Italie,4.2,274658
Vürsù Barbaresco Starderi,262.5,Italie,4.4,274658
Barolo Rocche,276.25,Italie,4.4,274658
Brunello di Montalcino,367.5,Italie,4.4,274658
Pauillac (Premier Grand Cru Classé),2753.75,France,4.6,422503
Sassicaia,661.25,Italie,4.6,274658
Bolgheri Superiore,1238.75,Italie,4.6,274658
Carruades de Lafite Pauillac,731.25,France,4.4,422503
5 Stelle Sfursat,130.0,Italie,4.5,274658
Barbaresco,533.75,Italie,4.5,274658
Sperss Barolo,618.75,Italie,4.6,274658
Darmagi Langhe,420.0,Italie,4.5,274658
Vigna Cappella di S. Stefano Perno Barolo,148.75,Italie,4.4,274658
Cristal Brut Champagne (Millésimé),896.25,France,4.6,422503
Cristal Rosé Brut Champagne (Millésimé),3202.5,France,4.6,422503
Vürsù Barbaresco Starderi,256.25,Italie,4.4,274658
Costa Russi (Barbaresco) Langhe,811.25,Italie,4.6,274658
Barbaresco,533.75,Italie,4.5,274658
Sassicaia,1408.75,Italie,4.6,274658
Sassicaia,1686.25,Italie,4.6,274658
Sassicaia,747.5,Italie,4.6,274658
Sassicaia,618.75,Italie,4.6,274658
Sassicaia,618.75,Italie,4.6,274658
Sassicaia,1537.5,Italie,4.6,274658
Barolo Ginestra Vigna del Gris,243.75,Italie,4.3,274658
Barolo Rocche,276.25,Italie,4.4,274658
Vürsù Barbaresco Valeirano,208.75,Italie,4.4,274658
Amarone della Valpolicella Classico,212.5,Italie,4.4,274658
Bric Dël Fiasc Barolo,221.25,Italie,4.3,274658
Redigaffi Toscana,493.75,Italie,4.5,274658
Barbaresco,533.75,Italie,4.5,274658
Barbaresco,1025.0,Italie,4.5,274658
Redigaffi Toscana,921.25,Italie,4.5,274658
Darmagi Langhe,353.75,Italie,4.5,274658
Barbaresco,491.25,Italie,4.5,274658
Costa Russi (Barbaresco) Langhe,1387.5,Italie,4.6,274658
25 anni Montefalco Sagrantino,85.0,Italie,4.3,274658
Sorì Tildìn (Barbaresco) Langhe,597.5,Italie,4.6,274658
Barbaresco,512.5,Italie,4.5,274658
Sorì Tildìn (Barbaresco) Langhe,811.25,Italie,4.6,274658
Tignanello,491.25,Italie,4.5,274658
Cristal Brut Champagne (Millésimé),1900.0,France,4.6,422503
Cristal Brut Champagne (Millésimé),630.0,France,4.6,422503
Pauillac (Premier Grand Cru Classé),1238.75,France,4.6,422503
Pauillac (Premier Grand Cru Classé),5977.5,France,4.6,422503
Pauillac (Premier Grand Cru Classé),1082.55,France,4.6,422503
Pauillac (Premier Grand Cru Classé),635.25,France,4.6,422503
Brunello di Montalcino,142.5,Italie,4.3,274658
Altero Brunello di Montalcino,123.75,Italie,4.4,274658
Barolo Bricco Gattera,250.0,Italie,4.4,274658
Special Selection Cabernet Sauvignon,397.5,États-Unis,4.7,204060
Sperss Barolo,533.75,Italie,4.6,274658
Vürsù Barbaresco Starderi,307.5,Italie,4.4,274658
Pauillac (Premier Grand Cru Classé),1900.0,France,4.6,422503
Pauillac (Premier Grand Cru Classé),1387.5,France,4.6,422503
Pauillac (Premier Grand Cru Classé),1473.75,France,4.6,422503
Cuvée Nicolas François Billecart Brut Champagne,360.0,France,4.5,422503
Scrio,243.75,Italie,4.3,274658
Messorio,420.0,Italie,4.5,274658
Tignanello,840.0,Italie,4.5,274658
Cepparello Red,148.75,Italie,4.3,274658
Tignanello,287.5,Italie,4.5,274658
Barbaresco,491.25,Italie,4.5,274658
Messorio,618.75,Italie,4.5,274658
Clos du Mesnil,5017.5,France,4.7,422503
Collection,2455.0,France,4.7,422503
Barolo Cascina Francia,597.5,Italie,4.5,274658
Pessac-Léognan (Grand Cru Classé de Graves),150.05,France,4.4,422503
Brunello di Montalcino Riserva,795.0,Italie,4.6,274658
Romanée-Saint-Vivant Grand Cru (Marey-Monge),8463.75,France,4.7,422503
Clos des Lambrays Grand Cru,1878.75,France,4.4,422503
Barolo Riserva Monfortino,2747.5,Italie,4.7,274658
Saint-Julien (Grand Cru Classé),205.0,France,4.3,422503
Châteauneuf-du-Pape,3308.75,France,4.7,422503
Amarone della Valpolicella Monte Lodoletta,683.75,Italie,4.7,274658
Valpolicella Superiore Monte Lodoletta,243.75,Italie,4.5,274658
Recioto della Valpolicella (Monte Lodoletta),376.25,Italie,4.6,274658
Barolo Ciabot Mentin Ginestra,168.75,Italie,4.3,274658
Lupicaia,243.75,Italie,4.4,274658
Cabernet Sauvignon,201.25,États-Unis,4.5,204060
Amarone della Valpolicella Monte Lodoletta,795.0,Italie,4.7,274658
Amarone della Valpolicella Monte Lodoletta,786.25,Italie,4.7,274658
Valpolicella Superiore Monte Lodoletta,212.5,Italie,4.5,274658
L'Apparita,287.5,Italie,4.4,274658
Clos des Lambrays Grand Cru,1686.25,France,4.4,422503
L'Extravagant de Doisy-Daëne Sauternes,276.25,France,4.6,422503
Clos de la Coulée de Serrant,265.0,France,4.3,422503
Tenuta Tignanello 'Solaia',1473.75,Italie,4.6,274658
Veneto Rosso del Bepi,243.75,Italie,4.6,274658
Vosne-Romanée 1er Cru 'Aux Malconsorts',2092.5,France,4.5,422503
Tenuta Tignanello 'Solaia',1387.5,Italie,4.6,274658
Cerretalto Brunello di Montalcino,533.75,Italie,4.7,274658
Cristal Brut Champagne (Millésimé),2071.25,France,4.6,422503
Vintage,1260.0,France,4.6,422503
Clos du Mesnil,3522.5,France,4.7,422503
Barolo Rocche,208.75,Italie,4.4,274658
Brunello di Montalcino Riserva,127.5,Italie,4.4,274658
Barolo Sorì Ginestra,271.25,Italie,4.3,274658
Château Margaux (Premier Grand Cru Classé),1067.5,France,4.6,422503
Collection,2028.75,France,4.7,422503
Colheita Port,147.82,Portugal,4.2,39847
Bolgheri Superiore,291.25,Italie,4.3,274658
Amarone della Valpolicella Monte Lodoletta,697.5,Italie,4.7,274658
Pomerol,747.5,France,4.4,422503
Châteauneuf-du-Pape,310.0,France,4.4,422503
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,2882.5,France,4.7,422503
Saint-Julien (Grand Cru Classé),406.25,France,4.4,422503
Galatrona,310.0,Italie,4.3,274658
Tenuta Tignanello 'Solaia',668.75,Italie,4.6,274658
Barbaresco,470.0,Italie,4.5,274658
Sorì San Lorenzo,917.5,Italie,4.6,274658
Grand Vin de Château Palmer (Grand Cru Classé),630.0,France,4.5,422503
Sassicaia,618.75,Italie,4.6,274658
Messorio,420.0,Italie,4.5,274658
Carruades de Lafite Pauillac,686.4,France,4.4,422503
Pomerol,423.5,France,4.4,422503
Tignanello,820.0,Italie,4.5,274658
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1173.75,France,4.6,422503
Pessac-Léognan Blanc (Grand Cru Classé de Graves),2028.75,France,4.5,422503
Sassicaia,597.5,Italie,4.6,274658
Pomerol,576.25,France,4.5,422503
Château Margaux (Premier Grand Cru Classé),1173.75,France,4.6,422503
Pessac-Léognan (Premier Grand Cru Classé),2455.0,France,4.6,422503
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,260.0,États-Unis,4.6,204060
Series C,65.0,Afrique du Sud,4.5,30857
Clos des Lambrays Grand Cru,896.25,France,4.4,422503
Pauillac (Premier Grand Cru Classé),1625.0,France,4.6,422503
Romanée-Saint-Vivant Grand Cru,3202.5,France,4.5,422503
Ornato Barolo,212.5,Italie,4.4,274658
Barbaresco,688.75,Italie,4.5,274658
Château Margaux (Premier Grand Cru Classé),1173.75,France,4.6,422503
Pauillac (Premier Grand Cru Classé),1451.25,France,4.6,422503
Ornato Barolo,178.75,Italie,4.4,274658
Barbaresco,597.5,Italie,4.5,274658
Bric Dël Fiasc Barolo,243.75,Italie,4.3,274658
Félix Callejo (Viñedos de la Familia),304.5,Espagne,4.3,102662
Galatrona,212.5,Italie,4.3,274658
Barbaresco,470.0,Italie,4.5,274658
Sorì San Lorenzo,1025.0,Italie,4.6,274658
Brunello di Montalcino Riserva,921.25,Italie,4.6,274658
Cabernet Sauvignon,178.75,États-Unis,4.5,204060
